大問ID,設問ID,設問名,設問カテゴリ,設問形式
1,1,問1,選択,通常選択
1,2,問2,選択,文挿入
2,3,問1,選択,通常選択
2,4,問2,選択,通常選択
2,5,問3,選択,通常選択
3,6,問1,選択,通常選択
3,7,問2,選択,通常選択
3,8,問3,選択,通常選択
3,9,問4,選択,通常選択
3,10,問5,選択,通常選択
4,11,問1,選択,通常選択
4,12,問2,選択,通常選択
4,13,問3,選択,通常選択
4,14,問4,選択,通常選択
4,15,問5,選択,通常選択
5,16,問1,選択,通常選択
5,17,問2,選択,通常選択
6,18,問1,選択,内容整序
6,19,問2,選択,通常選択
6,20,問3,選択,通常選択
7,21,問1,選択,通常選択
7,22,問2,選択,内容整序
7,23,問3,選択,通常選択
7,24,問4,選択,通常選択
7,25,問5,選択,通常選択
8,26,問1,選択,題名選択
8,27,問2,選択,通常選択
8,28,問3,選択,内容整序
8,29,問4,選択,通常選択
8,30,問5,選択,通常選択
9,31,問1,選択,通常選択
9,32,問2,選択,通常選択
9,33,問3,選択,通常選択
9,34,問4,選択,通常選択
10,35,問1,選択,通常選択
10,36,問2,選択,通常選択
10,37,問3,選択,内容一致(FS)
10,38,問4,選択,内容一致(FS)
11,39,問1,選択,通常選択
11,40,問2,選択,通常選択
12,41,問1,選択,通常選択
12,42,問2,選択,通常選択
12,43,問3,選択,通常選択
13,44,問1,選択,通常選択
13,45,問2,選択,通常選択
13,46,問3,選択,通常選択
13,47,問4,選択,通常選択
13,48,問5,選択,通常選択
14,49,問1,選択,通常選択
14,50,問2,選択,通常選択
14,51,問3,選択,通常選択
14,52,問4,選択,通常選択
14,53,問5,選択,題名選択
15,54,問1,選択,通常選択
15,55,問2,選択,通常選択
16,56,問1,選択,内容整序
16,57,問2,選択,通常選択
16,58,問3,選択,通常選択
17,59,問1,選択,通常選択
17,60,問2,選択,通常選択
17,61,問3,選択,通常選択
17,62,問4,選択,通常選択
17,63,問5,選択,通常選択
18,64,問1,選択,題名選択
18,65,問2,選択,通常選択
18,66,問3,選択,内容整序
18,67,問4,選択,通常選択
18,68,問5,選択,通常選択
19,69,問1,選択,通常選択
19,70,問2,選択,通常選択
19,71,問3,選択,通常選択
19,72,問4,選択,通常選択
20,73,問1,選択,通常選択
20,74,問2,選択,通常選択
20,75,問3,選択,通常選択
21,76,問1,選択,通常選択
21,77,問2,選択,通常選択
22,78,問1,選択,通常選択
22,79,問2,選択,通常選択
22,80,問3,選択,通常選択
23,81,問1,選択,通常選択
23,82,問2,選択,通常選択
23,83,問3,選択,通常選択
23,84,問4,選択,通常選択
23,85,問5,選択,通常選択
24,86,問1,選択,通常選択
24,87,問2,選択,通常選択
24,88,問3,選択,通常選択
24,89,問4,選択,通常選択
24,90,問5,選択,通常選択
25,91,問1,選択,通常選択
25,92,問2,選択,通常選択
26,93,問1,選択,内容整序
26,94,問2,選択,通常選択
26,95,問3,選択,通常選択
27,96,問1,選択,通常選択
27,97,問2,選択,通常選択
27,98,問3,選択,通常選択
27,99,問4,選択,通常選択
27,100,問5,選択,通常選択
28,101,問1,選択,通常選択
28,102,問2,選択,通常選択
28,103,問3,選択,内容整序
28,104,問4,選択,通常選択
28,105,問5,選択,内容一致(FS)
29,106,問1,選択,通常選択
29,107,問2,選択,通常選択
29,108,問3,選択,通常選択
29,109,問4,選択,内容一致(FS)
30,110,問1,選択,通常選択
30,111,問2,選択,通常選択
30,112,問3,選択,通常選択
30,113,問4,選択,通常選択
30,114,問5,選択,通常選択
31,115,問1,選択,通常選択
31,116,問2,選択,通常選択
32,117,問1,選択,通常選択
32,118,問2,選択,通常選択
32,119,問3,選択,通常選択
33,120,問1,選択,通常選択
33,121,問2,選択,通常選択
33,122,問3,選択,通常選択
33,123,問4,選択,通常選択
33,124,問5,選択,通常選択
34,125,問1,選択,通常選択
34,126,問2,選択,通常選択
34,127,問3,選択,通常選択
34,128,問4,選択,通常選択
34,129,問5,選択,通常選択
35,130,問1,選択,通常選択
35,131,問2,選択,通常選択
36,132,問1,選択,内容整序
36,133,問2,選択,通常選択
36,134,問3,選択,通常選択
37,135,問1,選択,通常選択
37,136,問2,選択,通常選択
37,137,問3,選択,通常選択
37,138,問4,選択,通常選択
37,139,問5,選択,通常選択
38,140,問1,選択,内容整序
38,141,問2,選択,内容整序
38,142,問3,選択,内容整序
38,143,問4,選択,内容整序
38,144,問5,選択,内容整序
39,145,問1,選択,通常選択
39,146,問2,選択,通常選択
39,147,問3,選択,通常選択
39,148,問4,選択,通常選択
40,149,問1,選択,通常選択
40,150,問2,選択,通常選択
40,151,問3,選択,通常選択
40,152,問4,選択,内容一致(FS)
40,153,問5,選択,内容一致(FS)
41,154,問1,選択,通常選択
41,155,問2,選択,通常選択
41,156,問3,選択,通常選択
42,157,問1,選択,通常選択
42,158,問2,選択,通常選択
42,159,問3,選択,通常選択
42,160,問4,選択,通常選択
43,161,問1,選択,通常選択
43,162,問2,選択,内容整序
43,163,問3,選択,通常選択
44,164,問1,選択,通常選択
44,165,問2,選択,通常選択
44,166,問3,選択,通常選択
44,167,問4,選択,通常選択
45,168,問1,選択,通常選択
45,169,問2,選択,通常選択
45,170,問3,選択,通常選択
45,171,問4,選択,通常選択
45,172,問5,選択,通常選択
46,173,問1,選択,内容一致(FS)
46,174,問2,選択,通常選択
46,175,問3,選択,通常選択
46,176,問4,選択,通常選択
47,177,問1,選択,通常選択
47,178,問2,選択,通常選択
47,179,問3,選択,通常選択
47,180,問4,選択,通常選択
47,181,問5,選択,通常選択
48,182,問1,選択,通常選択
48,183,問2,選択,通常選択
48,184,問3,選択,通常選択
48,185,問4,選択,通常選択
48,186,問5,選択,内容一致(FS)
115,187,1-1,文章記述(英),和文英訳
115,188,1-2,文章記述(日),説明記述
115,189,1-3,文章記述(日),英文和訳
115,190,1-4,文章記述(日),英文和訳
115,191,1-5,選択,語句挿入
115,192,1-6,選択,通常選択
115,193,1-7,選択,内容一致(FS)
116,194,2-1,文章記述(日),英文和訳
116,195,2-2,文章記述(日),英文和訳
116,196,2-3,文章記述(日),説明記述
116,197,2-4,文章記述(英),和文英訳
116,198,2-5,選択,通常選択
116,199,2-6,選択,通常選択
116,200,2-7,選択,内容一致(FS)
117,201,1,文章記述(日),要約作成
118,202,ア,選択,文挿入
118,203,イ,短答記述,語句整序
119,204,ア,文章記述(日),英文和訳
119,205,イ,文章記述(日),英文和訳
119,206,ウ,文章記述(日),英文和訳
120,207,A,短答記述,適所抽出
120,208,B,文章記述(日),英文和訳
120,209,C,文章記述(日),説明記述
120,210,26,選択,語義判定
120,211,27,選択,言い換え
120,212,28,選択,語句挿入
120,213,29,選択,言い換え
120,214,30,選択,言い換え
120,215,31,選択,内容一致(FS)
120,216,32,選択,内容一致(FS)
