区分,名称,コード,地方,医学部
共通テスト,大学入学共通テスト,kyotsu,,
資格,英検1級,ek1,,
資格,英検準1級,ekp1,,
資格,英検2級,ek2,,
国公立,東京大学,tokyo,南関東,TRUE
国公立,京都大学,kyoto,関西,TRUE
国公立,東北大学,tohoku,東北,TRUE
国公立,九州大学,kyushu,九州・沖縄,TRUE
国公立,北海道大学,hokkaido,北海道,TRUE
国公立,大阪大学,osaka,関西,TRUE
国公立,名古屋大学,nagoya,東海,TRUE
国公立,一橋大学,hitotsu,南関東,FALSE
国公立,神戸大学,kobe,関西,TRUE
国公立,筑波大学,tsukuba,北関東,TRUE
国公立,横浜国立大学,yokokoku,南関東,FALSE
国公立,東京都立大学,toritsu,南関東,FALSE
国公立,東京学芸大学,gakugei,南関東,FALSE
国公立,国際教養大学,aiu,東北,FALSE
国公立,東京外国語大学,tufs,南関東,FALSE
国公立,東京科学大学,kagaku,南関東,TRUE
国公立,東京農工大学,nokodai,南関東,FALSE
国公立,お茶の水女子大,ocha,南関東,FALSE
国公立,千葉大学,chiba,南関東,TRUE
国公立,浜松医科大学,hamamed,東海,TRUE
国公立,奈良女子大学,narajo,関西,FALSE
国公立,京都府立医科大学,kyofumed,関西,TRUE
国公立,和歌山県立医科大学,wakamed,関西,TRUE
国公立,大阪公立大学,osakamp,関西,TRUE
国公立,京都工芸繊維大学,kit,関西,FALSE
国公立,信州大学,shinshu,甲信越,TRUE
国公立,神戸市外国語大学,kcufs,関西,FALSE
私立,早稲田大学,waseda,南関東,FALSE
私立,慶応義塾大学,keio,南関東,TRUE
私立,上智大学,sophia,南関東,FALSE
私立,東京理科大学,rikadai,南関東,FALSE
私立,明治大学,meiji,南関東,FALSE
私立,青山学院大学,aoyama,南関東,FALSE
私立,立教大学,rikkyo,南関東,FALSE
私立,中央大学,chuo,南関東,FALSE
私立,法政大学,hosei,南関東,FALSE
私立,学習院大学,gakushuin,南関東,FALSE
私立,日本大学,nichidai,南関東,TRUE
私立,東洋大学,toyo,南関東,FALSE
私立,駒澤大学,komazawa,南関東,FALSE
私立,専修大学,senshu,南関東,FALSE
私立,同志社大学,doshisha,関西,FALSE
私立,立命館大学,ritsumei,関西,FALSE
私立,関西学院大学,kwansei,関西,FALSE
私立,関西大学,kansai,関西,FALSE
私立,京都産業大学,kyosan,関西,FALSE
私立,近畿大学,kinki,関西,TRUE
私立,甲南大学,konan,関西,FALSE
私立,龍谷大学,ryukoku,関西,FALSE
国公立,札幌医科大学,satsumed,北海道,TRUE
国公立,福島県立医科大学,fukumed,東北,TRUE
国公立,横浜市立大学,yokoichi,南関東,TRUE
国公立,名古屋市立大学,meishi,東海,TRUE
国公立,旭川医科大学,akwmed,北海道,TRUE
国公立,弘前大学,hirosaki,東北,TRUE
国公立,秋田大学,akita,東北,TRUE
国公立,山形大学,yamagata,東北,TRUE
国公立,群馬大学,gunma,北関東,TRUE
国公立,新潟大学,niigata,甲信越,TRUE
国公立,富山大学,toyama,北陸,TRUE
国公立,金沢大学,kanazawa,北陸,TRUE
国公立,福井大学,fukui,北陸,TRUE
国公立,山梨大学,yamanashi,甲信越,TRUE
国公立,岐阜大学,gifu,東海,TRUE
国公立,三重大学,mie,東海,TRUE
国公立,滋賀医科大学,shigamed,関西,TRUE
国公立,鳥取大学,tottori,中国,TRUE
国公立,島根大学,shimane,中国,TRUE
国公立,岡山大学,okayama,中国,TRUE
国公立,広島大学,hiroshima,中国,TRUE
国公立,山口大学,yamaguchi,四国,TRUE
国公立,徳島大学,tokushima,四国,TRUE
国公立,香川大学,kagawa,四国,TRUE
国公立,愛媛大学,ehime,四国,TRUE
国公立,高知大学,kochi,四国,TRUE
国公立,佐賀大学,saga,九州・沖縄,TRUE
国公立,長崎大学,nagasaki,九州・沖縄,TRUE
国公立,熊本大学,kumamoto,九州・沖縄,TRUE
国公立,大分大学,oita,九州・沖縄,TRUE
国公立,宮崎大学,miyazaki,九州・沖縄,TRUE
国公立,鹿児島大学,kagoshima,九州・沖縄,TRUE
国公立,琉球大学,ryukyu,九州・沖縄,TRUE
私立,岩手医科大学,iwatemed,東北,TRUE
私立,東北医科薬科大学,tohokumed,東北,TRUE
私立,自治医科大学,jichimed,北関東,TRUE
私立,獨協医科大学,dokkyomed,北関東,TRUE
私立,埼玉医科大学,saitamamed,南関東,TRUE
私立,国際医療福祉大学,kokufuku,北関東,TRUE
私立,杏林大学,kyorin,南関東,TRUE
私立,順天堂大学,juntendo,南関東,TRUE
私立,昭和大学,showa,南関東,TRUE
私立,帝京大学,teikyo,南関東,TRUE
私立,東京医科大学,tokyomed,南関東,TRUE
私立,東京慈恵会医科大学,jikeimed,南関東,TRUE
私立,東京女子医科大学,twmed,南関東,TRUE
私立,東邦大学,toho,南関東,TRUE
私立,日本医科大学,nihonmed,南関東,TRUE
私立,北里大学,kitasato,南関東,TRUE
私立,聖マリアンナ医科大学,seimari,南関東,TRUE
私立,東海大学,tokai,南関東,TRUE
私立,金沢医科大学,knzwmed,北陸,TRUE
私立,愛知医科大学,aichimed,東海,TRUE
私立,藤田医科大学,fujitamed,東海,TRUE
私立,大阪医科大学,osakamed,関西,TRUE
私立,関西医科大学,kansaimed,関西,TRUE
私立,兵庫医科大学,hyogomed,関西,TRUE
私立,川崎医科大学,kawasakimed,中国,TRUE
私立,久留米大学,kurume,九州・沖縄,TRUE
私立,産業医科大学,sangyomed,九州・沖縄,TRUE
私立,福岡大学,fukuoka,九州・沖縄,TRUE
